FECHA - HORA UTC,LATITUD (°),LONGITUD (°),PROF. (Km),MAGNITUD,TIPO MAGNITUD,FASES,RMS (Seg),GAP (°),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),REGION,ESTADO
2021-09-01 00:22:15,"6,771","-73,214","135,86","1,7",MLr_3,8,"0,9",128,"7,251","7,776","10,11","Zapatoca - Santander, Colombia",manual
2021-09-01 00:24:14,"6,785","-73,169","153,18","1,5",MLr_3,9,"0,2",141,"1,485","1,485","2,2","Los Santos - Santander, Colombia",manual
2021-09-01 01:45:11,"6,818","-73,158","141,74","1,5",MLr_3,10,"0,2",134,"1,131","1,131","2,2","Los Santos - Santander, Colombia",manual
2021-09-01 02:44:12,"6,52","-74,252","10,15","1,8",MLr_vmm,37,"0,8",47,"0,99","0,99","2,7","Cimitarra - Santander, Colombia",manual
2021-09-01 02:55:53,"6,812","-73,141",143,"1,5",MLr_3,12,"0,3",142,"1,909","1,909","2,5","Los Santos - Santander, Colombia",manual
2021-09-01 03:03:58,"6,564","-73,556","109,49","2,1",MLr_vmm,29,"1,3",51,"3,505","4,004","6,14","El Carmen - Santander, Colombia",manual
2021-09-01 04:03:42,"6,361","-73,75","80,66","1,2",MLr_vmm,14,"0,6",75,"3,711","3,319","8,34","Landázuri - Santander, Colombia",manual
2021-09-01 04:04:55,"6,745","-73,163","127,89","1,5",MLr_3,6,"0,5",137,"8,89","7,894","10,03","Los Santos - Santander, Colombia",manual
2021-09-01 04:09:51,"6,804","-73,099",151,"1,7",MLr_3,8,"0,6",169,"5,869","5,869","6,5","Los Santos - Santander, Colombia",manual
2021-09-01 05:00:23,"6,775","-73,231","138,2","1,6",MLr_3,6,"0,5",128,"8,895","8,995","10,69","Zapatoca - Santander, Colombia",manual
2021-09-01 05:48:26,"6,791","-73,152","134,48","1,5",MLr_3,14,"1,2",136,"5,091","5,091","8,8","Los Santos - Santander, Colombia",manual
2021-09-01 06:10:45,"6,764","-73,199","133,28","1,8",MLr_3,13,"0,6",97,"5,664","4,911","7,84","Villanueva - Santander, Colombia",manual
2021-09-01 06:12:24,"6,771","-73,223","141,95","2,1",MLr_3,22,"1,1",67,"4,823","4,508","6,91","Zapatoca - Santander, Colombia",manual
2021-09-01 06:15:09,"6,779","-73,197","132,11","1,5",MLr_3,7,"0,4",131,"6,658","7,054","10,35","Los Santos - Santander, Colombia",manual
2021-09-01 08:04:04,"6,792","-73,176","137,27","1,8",MLr_3,19,"0,9",133,"5,479","5,407","6,79","Los Santos - Santander, Colombia",manual
2021-09-01 09:18:29,"6,801","-73,206","146,92","1,5",MLr_3,10,"0,7",129,"3,889","3,889","6,5","Zapatoca - Santander, Colombia",manual
2021-09-01 10:10:27,"6,706","-72,984","12,23",2,MLr_3,13,1,84,"3,115","2,969","3,88","Aratoca - Santander, Colombia",manual
2021-09-01 10:23:12,"6,765","-73,202","142,07",3,MLr_3,36,"1,3",69,"3,612","4,37","5,93","Villanueva - Santander, Colombia",manual
2021-09-01 10:36:40,"6,72","-73,15","133,05","1,9",MLr_3,14,"0,7",83,"5,529","5,877","8,34","Villanueva - Santander, Colombia",manual
2021-09-01 14:50:42,"6,744","-73,164","132,93","2,3",MLr_3,20,"0,9",104,"4,495","4,521","7,54","Los Santos - Santander, Colombia",manual
2021-09-01 16:43:58,"6,756","-73,165","137,03","1,7",MLr_3,6,"0,5",138,"9,542","8,388","12,49","Los Santos - Santander, Colombia",manual
2021-09-01 16:47:13,"6,313","-73,859",53,"1,4",MLr_vmm,9,"0,3",118,"1,273","1,273","6,5","Landázuri - Santander, Colombia",manual
2021-09-01 16:49:41,"7,467","-73,199","138,72","1,3",MLr_vmm,7,"0,1",231,"1,838","1,838","2,2","El Playón - Santander, Colombia",manual
2021-09-01 17:31:04,"6,771","-73,116","135,86","1,7",MLr_3,7,"0,7",142,"6,932","7,807","10,1","Los Santos - Santander, Colombia",manual
2021-09-01 17:44:47,"6,749","-73,146","140,55","1,9",MLr_3,10,1,139,"6,218","7,883","9,25","Los Santos - Santander, Colombia",manual
2021-09-01 18:16:58,"6,8","-73,165","154,1","1,6",MLr_3,8,"0,4",142,"3,394","3,394","4,9","Los Santos - Santander, Colombia",manual
2021-09-01 19:45:23,"6,728","-73,171","133,52","1,8",MLr_3,12,"0,9",137,"6,145","7,905","8,89","Villanueva - Santander, Colombia",manual
2021-09-01 21:52:42,"6,177","-73,491","124,02","2,1",MLr_3,20,"1,1",61,"3,704","4,434","7,92","Aguada - Santander, Colombia",manual
2021-09-01 23:19:58,"6,771","-73,163","131,64","1,8",MLr_3,9,"0,6",136,"5,313","6,988","10,51","Los Santos - Santander, Colombia",manual
2021-09-01 23:49:09,"6,967","-73,184","113,1","1,4",MLr_3,8,"0,8",283,"9,334","9,334",9,"Girón - Santander, Colombia",manual
2021-09-02 02:21:22,"6,766","-73,197","136,8","2,1",MLr_3,23,"1,1",69,"4,937","4,886","7,09","Los Santos - Santander, Colombia",manual
2021-09-02 03:17:58,"6,362","-73,577","115,68","1,6",MLr_vmm,15,"0,9",74,"3,041","3,041","6,3","Santa Helena del Opón - Santander, Colombia",manual
2021-09-02 04:25:19,"6,777","-73,343","122,35","1,5",MLr_vmm,14,"0,9",103,"4,596","4,596",7,"Galán - Santander, Colombia",manual
2021-09-02 06:36:53,"6,749","-73,163","127,42","1,9",MLr_3,17,1,81,"4,99","5,178","7,48","Los Santos - Santander, Colombia",manual
2021-09-02 07:10:34,"6,842","-73,206","138,67","2,1",MLr_3,25,"1,1",67,"4,694","4,803","7,04","Zapatoca - Santander, Colombia",manual
2021-09-02 09:02:27,"6,783","-73,21","132,11",2,MLr_3,19,1,68,"4,633","5,161","7,51","Zapatoca - Santander, Colombia",manual
2021-09-02 09:49:33,"6,863","-73,252","148,73","1,4",MLr_vmm,7,"0,1",234,"1,98","1,98","1,9","Zapatoca - Santander, Colombia",manual
2021-09-02 11:46:02,"6,737","-73,18","131,17","1,9",MLr_3,12,1,135,"6,825","8,6","9,25","Villanueva - Santander, Colombia",manual
2021-09-02 12:26:09,"6,764","-73,225","132,34","1,9",MLr_3,8,"0,5",232,"8,069","7,767","11,01","Zapatoca - Santander, Colombia",manual
2021-09-02 13:40:54,"6,696","-73,199","142,66","1,6",MLr_3,5,"0,5",198,"13,86","16,607","14,06","Barichara - Santander, Colombia",manual
2021-09-02 14:15:23,"6,809","-73,176","131,64",2,MLr_3,11,"1,1",133,"6,613","8,664","10,3","Los Santos - Santander, Colombia",manual
2021-09-02 14:16:10,"6,824","-73,184","144,15","1,9",MLr_3,11,"0,5",131,"2,475","2,475","4,5","Zapatoca - Santander, Colombia",manual
2021-09-02 15:24:27,"6,804","-73,211","146,75","1,5",MLr_3,8,"0,1",146,"0,919","0,919","1,4","Zapatoca - Santander, Colombia",manual
2021-09-02 16:30:02,"6,72","-73,124","140,55","1,9",MLr_3,9,1,101,"8,048","9,979","10,05","Jordán - Santander, Colombia",manual
2021-09-02 16:33:19,"6,224","-73,847","115,2","1,4",MLr_vmm,11,"0,8",108,"5,162","5,162","7,8","Landázuri - Santander, Colombia",manual
2021-09-02 16:52:44,"6,747","-73,156","127,66","1,5",MLr_3,5,"0,3",138,"9,406","10,065","12,05","Los Santos - Santander, Colombia",manual
2021-09-02 18:28:10,"6,766","-73,176","135,39","2,1",MLr_3,14,1,70,"4,995","6,068","8,62","Los Santos - Santander, Colombia",manual
2021-09-02 19:05:38,"6,818","-73,168","144,8","1,7",MLr_3,11,"0,5",133,"3,323","3,323","4,8","Los Santos - Santander, Colombia",manual
2021-09-02 21:19:30,"6,779","-73,201","129,3","1,6",MLr_3,8,"0,9",131,"8,457","6,745","11,82","Zapatoca - Santander, Colombia",manual
2021-09-02 21:42:02,"6,792","-73,171","142,87","1,9",MLr_3,21,"0,8",134,"2,899","2,899","4,6","Los Santos - Santander, Colombia",manual
2021-09-02 21:52:41,"6,795","-73,161","147,41","1,7",MLr_3,16,"0,5",135,"1,838","1,838","3,5","Los Santos - Santander, Colombia",manual
2021-09-02 23:11:20,"6,576","-73,6","131,81","1,5",MLr_vmm,8,"0,3",180,"2,687","2,687","3,8","El Carmen - Santander, Colombia",manual
2021-09-02 23:32:05,"6,559","-73,191","170,99","1,4",MLr,7,"2,6",156,"37,406","37,406","30,7","San Gil - Santander, Colombia",manual
2021-09-03 00:22:45,"6,803","-73,183","148,16","2,5",MLr_3,31,"1,2",69,"3,499","4,636","7,02","Los Santos - Santander, Colombia",manual
2021-09-03 02:42:18,"6,246","-73,429","168,12","1,5",MLr_3,7,"0,2",150,"1,768","1,768","2,8","Guadalupe - Santander, Colombia",manual
2021-09-03 03:26:26,"6,806","-73,184","132,67","1,6",MLr_3,10,"0,9",179,"5,586","5,586","9,7","Los Santos - Santander, Colombia",manual
2021-09-03 04:52:40,"6,803","-73,117","155,62","1,6",MLr_3,10,"0,6",186,"4,738","4,738","6,5","Los Santos - Santander, Colombia",manual
2021-09-03 05:20:06,"5,951","-74,053","72,71","1,4",MLr_vmm,8,"0,3",191,"2,687","2,687","6,4","Sucre - Santander, Colombia",manual
2021-09-03 05:43:49,"6,779","-73,167","138,2","1,8",MLr_3,13,"0,9",135,"5,448","6,768","8,64","Los Santos - Santander, Colombia",manual
2021-09-03 06:45:38,"6,601","-73,467","110,08","1,3",MLr_vmm,7,"0,7",99,"6,254","7,383","10,63","El Carmen - Santander, Colombia",manual
2021-09-03 06:57:02,"6,612","-73,599","109,9","1,3",MLr_vmm,9,"0,4",149,"4,031","4,031","4,7","El Carmen - Santander, Colombia",manual
2021-09-03 06:57:21,"6,815","-73,233","138,91","1,9",MLr_3,19,"1,1",122,"4,467","6,352","7,96","Zapatoca - Santander, Colombia",manual
2021-09-03 07:22:51,"6,809","-73,197","135,86","1,7",MLr_3,6,"0,5",137,"6,797","10,259","10,45","Zapatoca - Santander, Colombia",manual
2021-09-03 07:26:34,"6,817","-73,184","145,1","1,6",MLr_3,9,"0,2",139,"2,051","2,051",3,"Zapatoca - Santander, Colombia",manual
2021-09-03 07:31:54,"7,462","-73,183","136,79","1,8",MLr_vmm,22,"0,6",114,"1,98","1,98","3,4","El Playón - Santander, Colombia",manual
2021-09-03 07:42:24,"6,504","-73,619","112,68","1,5",MLr_vmm,10,"0,6",134,"3,394","3,394","6,5","Santa Helena del Opón - Santander, Colombia",manual
2021-09-03 07:46:25,"6,366","-73,56","116,25","2,5",MLr_vmm,56,"0,7",49,"1,061","1,061","2,4","Santa Helena del Opón - Santander, Colombia",manual
2021-09-03 08:30:58,"6,673","-73,201","119,92","1,6",MLr_3,7,"0,8",92,"7,872","8,516","11,07","Barichara - Santander, Colombia",manual
